"Date","Permit Number","Status","Record Type","Project Name","Address","Expiration Date","Created By","Short Notes",
"09/30/2025","PB25-13650","Issued","Residential New Building Permit","FTW Area Habitat for Humanity","4144 JOSHUA SPRINGS CIR, Fort Worth TX 76123 United States",,"lariwaites",,
"09/30/2025","PB25-13675","Issued","Residential New Building Permit","METRO CODE","10137 THROTTLE LN, Fort Worth TX 76131 United States",,"April Wheeler",,
"09/30/2025","PB25-13674","Issued","Residential New Building Permit","METRO CODE","10121 THROTTLE LN, Fort Worth TX 76131 United States",,"April Wheeler",,
"09/30/2025","PB25-13673","Awaiting Client Reply","Residential New Building Permit","Daniel Jasso","305 W HAMMOND ST, Fort Worth TX 76115",,"Shanice Reed",,
"09/30/2025","PB25-13660","Issued","Residential New Building Permit","Bureau Veritas","1456 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13659","Issued","Residential New Building Permit","Bureau Veritas","1452 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13658","Issued","Residential New Building Permit","Bureau Veritas","1448 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13657","Issued","Residential New Building Permit","Bureau Veritas","1428 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13656","Issued","Residential New Building Permit","Bureau Veritas","1420 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13641","Awaiting Client Reply","Residential New Building Permit","DFH-COVENTRY HOMES","4508 BLUE MIST DR, Fort Worth TX 76036",,"Stacie Hamby",,
"09/30/2025","PB25-13637","Awaiting Client Reply","Residential New Building Permit","VZLA  Contractor LLC","1215 STELLA ST, Fort Worth TX 76104",,"Karen Block",,
"09/30/2025","PB25-13636","Awaiting Client Reply","Residential New Building Permit","DFH-COVENTRY HOMES","4420 BLUE MIST DR, Fort Worth TX 76036",,"Stacie Hamby",,
"09/30/2025","PB25-13635","Issued","Residential New Building Permit","METRO CODE","2708 CLEAR ROOT CIR, Fort Worth TX 76108 United States",,"April Wheeler",,
"09/30/2025","PB25-13628","Issued","Residential New Building Permit","Bureau Veritas","1444 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13626","Issued","Residential New Building Permit","Bureau Veritas","1440 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13625","Issued","Residential New Building Permit","Bureau Veritas","1436 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13623","Issued","Residential New Building Permit","Bureau Veritas","1424 NATIVE BLOOMS WAY, Fort Worth TX 76247 United States",,"Adriana Perez",,
"09/30/2025","PB25-13620","Issued","Residential New Building Permit","Bureau Veritas","7904 WHISTERWHEEL WAY, Fort Worth TX 76123 United States",,"Adriana Perez",,
